x,y,z,E11,E12,E13,E22,E23,E33,EmaxPrincipal,S33,SmaxPrincipal,Smises,U1,U2,U3,instance,d_ads,d_abs,d_ats,d_fss,E_ads,E_abs,E_ats
0.0025,0.0,0.0575,-2.278327656313195e-06,2.2111230624233258e-09,-3.073732841585297e-07,-2.278327656313195e-06,-3.073732841585297e-07,-1.3514531929104123e-05,-2.273019845233648e-06,-128139.1953125,-86503.96875,41638.921875,-5.695812266282019e-09,-5.695811822192809e-09,2.597890852484852e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0625,-1.9577182683860883e-06,2.081806504961037e-09,-3.193114253008389e-07,-1.9577182683860883e-06,-3.193114253008389e-07,-1.3569880138675217e-05,-1.9522892671375303e-06,-125812.671875,-82784.5390625,43032.40625,-4.894290306367566e-09,-4.894290306367566e-09,2.5911196644301526e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0675,-1.696755361990654e-06,1.962915385789188e-09,-3.7550228171312483e-07,-1.696755361990654e-06,-3.7550228171312483e-07,-1.3531128388422076e-05,-1.6898201238291222e-06,-123246.4453125,-79389.75,43864.09375,-4.241885065425777e-09,-4.241885065425777e-09,2.584344838396646e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0725,-1.4954316611692775e-06,1.7714781863631401e-09,-3.7647066619683756e-07,-1.4954316611692775e-06,-3.7647066619683756e-07,-1.3399751878750976e-05,-1.4885964674249408e-06,-120452.3671875,-76336.96875,44123.14453125,-3.738576559442208e-09,-3.738576115352998e-09,2.5776120310183614e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0775,-1.3525802842195844e-06,1.621574097221412e-09,-4.4176223923386715e-07,-1.3525802842195844e-06,-4.4176223923386715e-07,-1.3177371329220477e-05,-1.3435238770398428e-06,-117433.3046875,-73604.2421875,43841.34375,-3.3814477884419603e-09,-3.3814477884419603e-09,2.570967626525089e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0825,-1.2669634088524617e-06,1.3725617309390259e-09,-4.256598629126529e-07,-1.266963295165624e-06,-4.256598629126529e-07,-1.2867459190601949e-05,-1.2584733894982492e-06,-114206.4453125,-71210.2109375,43008.15234375,-3.167406115167637e-09,-3.167406115167637e-09,2.564456735854037e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0875,-1.2361257404336357e-06,1.2033852803128298e-09,-5.045090460953361e-07,-1.2361257404336357e-06,-5.045090460953361e-07,-1.2473567949200515e-05,-1.2242110187798971e-06,-110779.109375,-69114.8203125,41683.03125,-3.090312228337666e-09,-3.090312228337666e-09,2.5581213776604272e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0925,-1.257592543879582e-06,8.802101270077856e-10,-4.629055467830767e-07,-1.257592543879582e-06,-4.629055467830767e-07,-1.2001231880276464e-05,-1.2471896297938656e-06,-107174.2578125,-67344.46875,39846.62109375,-3.1439792991250215e-09,-3.1439792991250215e-09,2.5520026611047797e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.0025,0.0,0.0975,-1.3276456911626155e-06,6.900517934838035e-10,-5.624447112495545e-07,-1.3276456911626155e-06,-5.624447112495545e-07,-1.1455917046987452e-05,-1.3117082744429354e-06,-103403.6875,-65832.546875,37598.77734375,-3.3191127624121464e-09,-3.3191127624121464e-09,2.5461384211666882e-05,AB,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
0.005,0.0,0.105,-8.755055205256213e-07,1.354818701670979e-09,-4.4117172137703164e-07,-8.755055205256213e-07,-4.4117172137703164e-07,-3.910055511369137e-06,-8.430975526607654e-07,-97357.71875,-68959.9609375,28539.619140625,-4.3775258973255404e-09,-4.3775258973255404e-09,2.540848799981177e-05,AT,0.02,0.08,0.14,0.56,20000.0,5000.0,12500.0
