x,z,instance,maxP,winkel_x,winkel_y,winkel_z,zulN
0.025,0.175,AT,5.198462761237838e-06,167.50752502308356,101.43348668418967,85.03334633246482,43335362718.362686
0.025,0.185,AT,6.063488582479127e-06,167.39170228476118,101.91611610124015,85.93934507974852,25892278908.986588
0.025,0.195,AT,7.000620541769792e-06,79.82273128800014,169.82253056919166,89.93675300384587,16007854196.161934
0.025,0.205,AT,8.030950809049694e-06,79.11105842355657,169.11104334516497,89.98209676827601,10111363155.580435
0.025,0.215,AT,9.156474733478958e-06,78.9830088658193,168.98300576774162,89.9918395575956,6519541885.352381
0.025,0.225,AT,1.0397939819253075e-05,78.94069317271209,168.9406922446454,89.9955254643184,4260438611.5522165
0.025,0.235,AT,1.1778398816627527e-05,78.91459620182184,168.91459617365777,89.99921964515585,2807406915.735303
0.0275,0.0025,AD,5.879034636452139e-06,89.95408431446337,89.99572234938528,0.046114514858557214,35750090880.28713
0.0275,0.0075,AD,4.888818452516675e-06,89.92250235133348,89.9933776915185,0.07778007824611183,66979936107.14275
0.0275,0.0125,AD,3.907725095747361e-06,89.93255449791485,89.99464042453648,179.93234188277347,143577216268.66187
0.0275,0.0175,AD,2.949335105744656e-06,89.5178811007547,89.95477011498589,179.5157640326487,374157050252.63947
0.0325,0.0025,AD,5.8869713776633585e-06,89.94276743460175,89.9955065285081,0.05740869134003497,35586291185.80297
0.0325,0.0075,AD,4.8849846378960515e-06,89.90202619190941,89.99282776158891,0.09823598208106839,67159042808.62764
0.0325,0.0125,AD,3.88545931672841e-06,89.92769893629853,89.99499244189687,179.92752573231263,146397285649.0422
0.0325,0.0175,AD,2.9169998173616948e-06,89.41815748003609,89.95432503325424,179.41636735521496,388464490520.5365
0.035,0.115,AT,6.374175841402857e-07,19.907070094258508,82.30947675740002,108.24588331861331,48591145612314.82
0.035,0.125,AT,1.418777688854998e-06,162.82977454470227,97.82319873804305,74.81371073348834,3340831408662.58
0.035,0.135,AT,2.1779164277966725e-06,164.74918851064854,97.90590170035993,77.04312330253408,796295176363.1499
0.035,0.145,AT,2.923531696304243e-06,166.23089706423823,97.97472588993111,78.84913310163354,297325703287.29193
0.035,0.155,AT,3.669033287412753e-06,167.44711568735693,98.03057027351305,80.41592790051737,139049729644.31543
0.035,0.165,AT,4.428899908183219e-06,168.4589868336708,98.10122424160218,81.83546483294255,74071989627.06183
0.035,0.175,AT,5.218529214257129e-06,169.28801240256797,98.19822029269093,83.15271248900599,42780314181.198685
0.035,0.185,AT,6.053475930965209e-06,169.706893207149,98.60318707789283,84.39168082474367,26035855260.15323
0.035,0.195,AT,6.97326892831943e-06,82.69158988041241,172.6913117743179,89.93658743638647,16218912607.471298
0.035,0.205,AT,7.9998136896567e-06,82.18936636927317,172.18934328026026,89.9811259890677,10243649784.35014
0.035,0.215,AT,9.12072003102195e-06,82.09191003026025,172.09190545672598,89.99154892407873,6605451746.701963
0.035,0.225,AT,1.0356502280138243e-05,82.05968354757601,172.05968207570402,89.9951962380073,4317744368.174248
0.035,0.235,AT,1.172997824400079e-05,82.04199075804232,172.04199072745652,89.99930676995595,2846371110.159226
0.0375,0.0025,AD,5.900432506499686e-06,89.93036696653441,89.99527917270157,0.06979287629916385,35310691561.129555
0.0375,0.0075,AD,4.876701765549665e-06,89.87694788672927,89.99222612664852,0.12329742849150835,67548119534.02568
